Audit_Hash_ID,Enterprise_Client,Infrastructure_Layer,Threat_Classification,Traffic_Volume_GB,Neural_Threat_Index,Breach_Compliance_Flag
SEC_MD5_000784,Alphabet Inc.,IAM Authentication Layer,Vector Injection,18.141,63.26,0
SEC_MD5_000785,Apple Inc.,Edge Computing Node,Vector Injection,10.539,45.25,0
SEC_MD5_000786,Meta Platforms,Edge Computing Node,Vector Injection,8.701,50.72,0
SEC_MD5_000787,Alphabet Inc.,Edge Computing Node,Token Hijacking,21.258,82.76,1
SEC_MD5_000788,Alphabet Inc.,Distributed Core Database,Token Hijacking,16.368,65.59,0
SEC_MD5_000789,Amazon Web Services,Edge Computing Node,Vector Injection,5.919,49.75,0
SEC_MD5_000790,Alphabet Inc.,IAM Authentication Layer,Token Hijacking,23.987,81.58,1
SEC_MD5_000791,Amazon Web Services,Edge Computing Node,Exfiltration Attempt,75.069,100.0,1
SEC_MD5_000792,Microsoft Corp.,API Gateway Endpoint,Exfiltration Attempt,16.207,53.67,0
SEC_MD5_000793,Microsoft Corp.,Distributed Core Database,Token Hijacking,5.954,25.32,0
SEC_MD5_000794,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,16.905,57.11,0
SEC_MD5_000795,Apple Inc.,IAM Authentication Layer,Token Hijacking,41.322,100.0,1
SEC_MD5_000796,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,7.477,40.81,0
SEC_MD5_000797,Microsoft Corp.,API Gateway Endpoint,Vector Injection,11.37,55.44,0
SEC_MD5_000798,Microsoft Corp.,API Gateway Endpoint,Vector Injection,22.121,59.71,0
SEC_MD5_000799,Meta Platforms,IAM Authentication Layer,Vector Injection,17.458,50.11,0
SEC_MD5_000800,Meta Platforms,IAM Authentication Layer,Exfiltration Attempt,36.077,85.97,1
SEC_MD5_000801,Microsoft Corp.,API Gateway Endpoint,Zero-Day Vulnerability,18.638,74.66,1
SEC_MD5_000802,Amazon Web Services,Edge Computing Node,Exfiltration Attempt,9.334,54.53,0
SEC_MD5_000803,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,18.968,68.85,0
SEC_MD5_000804,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,22.362,77.07,1
SEC_MD5_000805,Meta Platforms,Edge Computing Node,Vector Injection,7.996,55.1,0
SEC_MD5_000806,Microsoft Corp.,Edge Computing Node,Vector Injection,20.369,83.53,1
SEC_MD5_000807,Microsoft Corp.,Distributed Core Database,Vector Injection,15.5,68.42,0
SEC_MD5_000808,Alphabet Inc.,Distributed Core Database,Zero-Day Vulnerability,41.7,93.89,1
SEC_MD5_000809,Meta Platforms,Distributed Core Database,Token Hijacking,10.116,56.03,0
SEC_MD5_000810,Apple Inc.,Edge Computing Node,Token Hijacking,50.236,100.0,1
SEC_MD5_000811,Microsoft Corp.,IAM Authentication Layer,Vector Injection,29.851,79.77,1
SEC_MD5_000812,Amazon Web Services,API Gateway Endpoint,Vector Injection,12.179,49.09,0
SEC_MD5_000813,Amazon Web Services,Distributed Core Database,Token Hijacking,8.695,51.89,0
SEC_MD5_000814,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,8.595,55.55,0
SEC_MD5_000815,Microsoft Corp.,Edge Computing Node,Token Hijacking,21.764,65.16,0
SEC_MD5_000816,Meta Platforms,Distributed Core Database,Token Hijacking,11.049,62.26,0
SEC_MD5_000817,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,24.559,72.77,1
SEC_MD5_000818,Alphabet Inc.,Edge Computing Node,Vector Injection,48.126,100.0,1
SEC_MD5_000819,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,55.667,100.0,1
SEC_MD5_000820,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,30.095,74.59,1
SEC_MD5_000821,Alphabet Inc.,Edge Computing Node,Vector Injection,11.717,53.11,0
SEC_MD5_000822,Amazon Web Services,API Gateway Endpoint,Vector Injection,6.384,32.73,0
SEC_MD5_000823,Alphabet Inc.,IAM Authentication Layer,Vector Injection,4.248,30.62,0
SEC_MD5_000824,Apple Inc.,IAM Authentication Layer,Vector Injection,38.904,100.0,1
SEC_MD5_000825,Microsoft Corp.,IAM Authentication Layer,Vector Injection,16.12,56.43,0
SEC_MD5_000826,Meta Platforms,API Gateway Endpoint,Zero-Day Vulnerability,7.393,50.41,0
SEC_MD5_000827,Apple Inc.,Distributed Core Database,Vector Injection,36.026,95.74,1
SEC_MD5_000828,Apple Inc.,IAM Authentication Layer,Vector Injection,5.331,40.46,0
SEC_MD5_000829,Amazon Web Services,API Gateway Endpoint,Vector Injection,5.588,29.46,0
SEC_MD5_000830,Microsoft Corp.,Edge Computing Node,Vector Injection,54.344,100.0,1
SEC_MD5_000831,Apple Inc.,Distributed Core Database,Vector Injection,5.083,43.78,0
SEC_MD5_000832,Amazon Web Services,IAM Authentication Layer,Vector Injection,16.095,53.64,0
SEC_MD5_000833,Microsoft Corp.,Edge Computing Node,Zero-Day Vulnerability,7.084,60.75,0
SEC_MD5_000834,Alphabet Inc.,Edge Computing Node,Exfiltration Attempt,35.458,91.06,1
SEC_MD5_000835,Alphabet Inc.,API Gateway Endpoint,Vector Injection,14.39,51.15,0
SEC_MD5_000836,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,11.615,41.61,0
SEC_MD5_000837,Apple Inc.,Edge Computing Node,Vector Injection,12.069,75.85,1
SEC_MD5_000838,Alphabet Inc.,Edge Computing Node,Vector Injection,29.62,83.28,1
SEC_MD5_000839,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,29.547,92.26,1
SEC_MD5_000840,Apple Inc.,Distributed Core Database,Zero-Day Vulnerability,13.377,45.94,0
SEC_MD5_000841,Microsoft Corp.,Edge Computing Node,Vector Injection,7.439,48.22,0
SEC_MD5_000842,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,5.536,31.03,0
SEC_MD5_000843,Alphabet Inc.,IAM Authentication Layer,Zero-Day Vulnerability,12.996,56.09,0
SEC_MD5_000844,Amazon Web Services,Edge Computing Node,Token Hijacking,14.407,64.02,0
SEC_MD5_000845,Apple Inc.,IAM Authentication Layer,Token Hijacking,34.083,96.24,1
SEC_MD5_000846,Apple Inc.,IAM Authentication Layer,Vector Injection,27.113,69.87,0
SEC_MD5_000847,Microsoft Corp.,Edge Computing Node,Token Hijacking,23.483,91.05,1
SEC_MD5_000848,Apple Inc.,API Gateway Endpoint,Zero-Day Vulnerability,17.332,81.47,1
SEC_MD5_000849,Alphabet Inc.,IAM Authentication Layer,Vector Injection,10.218,35.95,0
SEC_MD5_000850,Amazon Web Services,API Gateway Endpoint,Token Hijacking,13.23,49.62,0
SEC_MD5_000851,Amazon Web Services,Distributed Core Database,Exfiltration Attempt,20.195,67.89,0
SEC_MD5_000852,Amazon Web Services,API Gateway Endpoint,Exfiltration Attempt,9.008,30.75,0
SEC_MD5_000853,Apple Inc.,IAM Authentication Layer,Exfiltration Attempt,9.673,47.71,0
SEC_MD5_000854,Apple Inc.,API Gateway Endpoint,Vector Injection,19.338,71.03,0
SEC_MD5_000855,Amazon Web Services,Edge Computing Node,Token Hijacking,17.3,66.41,0
SEC_MD5_000856,Meta Platforms,API Gateway Endpoint,Zero-Day Vulnerability,31.831,69.84,0
SEC_MD5_000857,Amazon Web Services,Distributed Core Database,Token Hijacking,10.006,67.37,0
SEC_MD5_000858,Alphabet Inc.,IAM Authentication Layer,Token Hijacking,7.828,54.04,0
SEC_MD5_000859,Microsoft Corp.,IAM Authentication Layer,Zero-Day Vulnerability,12.35,49.89,0
SEC_MD5_000860,Alphabet Inc.,Edge Computing Node,Token Hijacking,10.32,45.66,0
SEC_MD5_000861,Apple Inc.,Distributed Core Database,Token Hijacking,82.596,100.0,1
SEC_MD5_000862,Microsoft Corp.,Distributed Core Database,Token Hijacking,9.24,47.65,0
SEC_MD5_000863,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,41.179,100.0,1
SEC_MD5_000864,Meta Platforms,Distributed Core Database,Zero-Day Vulnerability,16.838,76.61,1
SEC_MD5_000865,Microsoft Corp.,Edge Computing Node,Zero-Day Vulnerability,10.654,57.93,0
SEC_MD5_000866,Microsoft Corp.,Edge Computing Node,Token Hijacking,14.846,40.56,0
SEC_MD5_000867,Alphabet Inc.,API Gateway Endpoint,Zero-Day Vulnerability,7.834,33.9,0
SEC_MD5_000868,Alphabet Inc.,Distributed Core Database,Token Hijacking,33.977,91.48,1
SEC_MD5_000869,Amazon Web Services,Edge Computing Node,Vector Injection,11.521,49.84,0
SEC_MD5_000870,Amazon Web Services,API Gateway Endpoint,Vector Injection,13.264,57.49,0
SEC_MD5_000871,Apple Inc.,Distributed Core Database,Zero-Day Vulnerability,32.365,87.54,1
SEC_MD5_000872,Microsoft Corp.,IAM Authentication Layer,Exfiltration Attempt,16.14,54.25,0
SEC_MD5_000873,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,37.972,92.95,1
SEC_MD5_000874,Amazon Web Services,API Gateway Endpoint,Zero-Day Vulnerability,29.593,86.2,1
SEC_MD5_000875,Amazon Web Services,IAM Authentication Layer,Zero-Day Vulnerability,21.474,79.06,1
SEC_MD5_000876,Microsoft Corp.,IAM Authentication Layer,Zero-Day Vulnerability,63.116,100.0,1
SEC_MD5_000877,Amazon Web Services,Distributed Core Database,Vector Injection,15.025,57.78,0
SEC_MD5_000878,Amazon Web Services,Edge Computing Node,Vector Injection,18.235,84.25,1
SEC_MD5_000879,Apple Inc.,IAM Authentication Layer,Exfiltration Attempt,5.969,48.44,0
SEC_MD5_000880,Meta Platforms,Edge Computing Node,Exfiltration Attempt,8.996,65.03,0
SEC_MD5_000881,Apple Inc.,API Gateway Endpoint,Exfiltration Attempt,61.164,100.0,1
SEC_MD5_000882,Microsoft Corp.,IAM Authentication Layer,Vector Injection,32.46,84.25,1
SEC_MD5_000883,Microsoft Corp.,Distributed Core Database,Token Hijacking,4.826,45.45,0
SEC_MD5_000884,Alphabet Inc.,Distributed Core Database,Vector Injection,22.657,62.33,0
SEC_MD5_000885,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,41.163,100.0,1
SEC_MD5_000886,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,90.343,100.0,1
SEC_MD5_000887,Alphabet Inc.,IAM Authentication Layer,Vector Injection,21.239,73.5,1
SEC_MD5_000888,Meta Platforms,IAM Authentication Layer,Token Hijacking,17.875,87.05,1
SEC_MD5_000889,Microsoft Corp.,Edge Computing Node,Token Hijacking,22.609,81.81,1
SEC_MD5_000890,Amazon Web Services,API Gateway Endpoint,Vector Injection,29.658,91.11,1
SEC_MD5_000891,Microsoft Corp.,IAM Authentication Layer,Exfiltration Attempt,11.263,52.53,0
SEC_MD5_000892,Microsoft Corp.,Distributed Core Database,Token Hijacking,23.252,80.26,1
SEC_MD5_000893,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,15.674,55.38,0
SEC_MD5_000894,Apple Inc.,API Gateway Endpoint,Zero-Day Vulnerability,11.486,55.54,0
SEC_MD5_000895,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,16.093,44.07,0
SEC_MD5_000896,Amazon Web Services,Edge Computing Node,Exfiltration Attempt,7.152,53.91,0
SEC_MD5_000897,Amazon Web Services,Edge Computing Node,Vector Injection,33.573,100.0,1
SEC_MD5_000898,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,5.707,45.24,0
SEC_MD5_000899,Amazon Web Services,IAM Authentication Layer,Vector Injection,13.401,48.74,0
SEC_MD5_000900,Microsoft Corp.,Edge Computing Node,Token Hijacking,20.703,70.3,0
SEC_MD5_000901,Microsoft Corp.,API Gateway Endpoint,Exfiltration Attempt,32.791,68.86,0
SEC_MD5_000902,Alphabet Inc.,API Gateway Endpoint,Zero-Day Vulnerability,9.335,44.92,0
SEC_MD5_000903,Alphabet Inc.,Edge Computing Node,Zero-Day Vulnerability,15.237,71.79,0
SEC_MD5_000904,Alphabet Inc.,Distributed Core Database,Token Hijacking,8.393,48.68,0
SEC_MD5_000905,Microsoft Corp.,IAM Authentication Layer,Vector Injection,19.681,62.61,0
SEC_MD5_000906,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,20.206,53.22,0
SEC_MD5_000907,Apple Inc.,Edge Computing Node,Zero-Day Vulnerability,10.196,56.56,0
SEC_MD5_000908,Apple Inc.,API Gateway Endpoint,Exfiltration Attempt,14.576,56.08,0
SEC_MD5_000909,Alphabet Inc.,IAM Authentication Layer,Token Hijacking,7.221,46.89,0
SEC_MD5_000910,Meta Platforms,Edge Computing Node,Exfiltration Attempt,9.861,58.01,0
SEC_MD5_000911,Microsoft Corp.,Edge Computing Node,Vector Injection,26.258,93.23,1
SEC_MD5_000912,Apple Inc.,Distributed Core Database,Exfiltration Attempt,10.288,49.69,0
SEC_MD5_000913,Amazon Web Services,Edge Computing Node,Vector Injection,16.44,70.52,0
SEC_MD5_000914,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,7.863,51.8,0
SEC_MD5_000915,Apple Inc.,IAM Authentication Layer,Token Hijacking,29.208,86.3,1
SEC_MD5_000916,Amazon Web Services,Distributed Core Database,Exfiltration Attempt,23.392,77.71,1
SEC_MD5_000917,Amazon Web Services,IAM Authentication Layer,Zero-Day Vulnerability,13.331,58.78,0
SEC_MD5_000918,Microsoft Corp.,Edge Computing Node,Vector Injection,20.076,82.15,1
SEC_MD5_000919,Amazon Web Services,IAM Authentication Layer,Exfiltration Attempt,16.331,65.09,0
SEC_MD5_000920,Microsoft Corp.,IAM Authentication Layer,Zero-Day Vulnerability,4.697,30.1,0
SEC_MD5_000921,Apple Inc.,Distributed Core Database,Exfiltration Attempt,17.789,65.02,0
SEC_MD5_000922,Meta Platforms,Edge Computing Node,Zero-Day Vulnerability,46.889,100.0,1
SEC_MD5_000923,Microsoft Corp.,Edge Computing Node,Token Hijacking,4.727,60.39,0
SEC_MD5_000924,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,10.142,50.86,0
SEC_MD5_000925,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,24.736,79.46,1
SEC_MD5_000926,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,17.012,60.08,0
SEC_MD5_000927,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,9.67,41.04,0
SEC_MD5_000928,Alphabet Inc.,Distributed Core Database,Exfiltration Attempt,18.486,38.73,0
SEC_MD5_000929,Alphabet Inc.,Edge Computing Node,Zero-Day Vulnerability,6.582,51.54,0
SEC_MD5_000930,Meta Platforms,Edge Computing Node,Token Hijacking,12.299,54.24,0
SEC_MD5_000931,Apple Inc.,Edge Computing Node,Token Hijacking,18.304,68.51,0
SEC_MD5_000932,Amazon Web Services,IAM Authentication Layer,Token Hijacking,6.668,51.7,0
SEC_MD5_000933,Amazon Web Services,IAM Authentication Layer,Vector Injection,12.611,38.21,0
SEC_MD5_000934,Microsoft Corp.,API Gateway Endpoint,Zero-Day Vulnerability,6.969,68.42,0
SEC_MD5_000935,Amazon Web Services,Edge Computing Node,Vector Injection,14.056,68.3,0
SEC_MD5_000936,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,9.217,56.17,0
SEC_MD5_000937,Alphabet Inc.,IAM Authentication Layer,Vector Injection,8.382,32.73,0
SEC_MD5_000938,Alphabet Inc.,Distributed Core Database,Vector Injection,12.934,39.24,0
SEC_MD5_000939,Microsoft Corp.,IAM Authentication Layer,Vector Injection,26.912,92.07,1
SEC_MD5_000940,Alphabet Inc.,Distributed Core Database,Token Hijacking,15.323,52.35,0
SEC_MD5_000941,Meta Platforms,Distributed Core Database,Vector Injection,29.765,87.31,1
SEC_MD5_000942,Microsoft Corp.,Distributed Core Database,Token Hijacking,24.854,56.62,0
SEC_MD5_000943,Apple Inc.,Distributed Core Database,Vector Injection,9.334,58.75,0
SEC_MD5_000944,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,11.853,43.89,0
SEC_MD5_000945,Apple Inc.,Distributed Core Database,Token Hijacking,9.811,71.55,0
SEC_MD5_000946,Amazon Web Services,Distributed Core Database,Exfiltration Attempt,29.987,83.37,1
SEC_MD5_000947,Amazon Web Services,Edge Computing Node,Zero-Day Vulnerability,32.354,96.07,1
SEC_MD5_000948,Microsoft Corp.,IAM Authentication Layer,Zero-Day Vulnerability,17.507,60.7,0
SEC_MD5_000949,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,9.072,37.47,0
SEC_MD5_000950,Amazon Web Services,Distributed Core Database,Token Hijacking,5.326,18.36,0
SEC_MD5_000951,Alphabet Inc.,Edge Computing Node,Exfiltration Attempt,5.007,53.75,0
SEC_MD5_000952,Amazon Web Services,Edge Computing Node,Token Hijacking,52.451,100.0,1
SEC_MD5_000953,Amazon Web Services,API Gateway Endpoint,Zero-Day Vulnerability,7.06,42.83,0
SEC_MD5_000954,Alphabet Inc.,Distributed Core Database,Exfiltration Attempt,21.672,75.32,1
SEC_MD5_000955,Amazon Web Services,Edge Computing Node,Exfiltration Attempt,10.102,46.73,0
SEC_MD5_000956,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,13.338,53.98,0
SEC_MD5_000957,Meta Platforms,Distributed Core Database,Token Hijacking,38.058,100.0,1
SEC_MD5_000958,Microsoft Corp.,Edge Computing Node,Zero-Day Vulnerability,20.943,73.49,1
SEC_MD5_000959,Amazon Web Services,IAM Authentication Layer,Vector Injection,8.589,32.14,0
SEC_MD5_000960,Alphabet Inc.,Distributed Core Database,Zero-Day Vulnerability,13.509,60.79,0
SEC_MD5_000961,Alphabet Inc.,Edge Computing Node,Vector Injection,14.586,78.31,1
SEC_MD5_000962,Alphabet Inc.,IAM Authentication Layer,Zero-Day Vulnerability,56.733,100.0,1
SEC_MD5_000963,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,2.969,38.13,0
SEC_MD5_000964,Alphabet Inc.,IAM Authentication Layer,Zero-Day Vulnerability,7.353,50.07,0
SEC_MD5_000965,Amazon Web Services,Distributed Core Database,Exfiltration Attempt,14.568,66.63,0
SEC_MD5_000966,Amazon Web Services,API Gateway Endpoint,Vector Injection,7.554,34.53,0
SEC_MD5_000967,Amazon Web Services,IAM Authentication Layer,Token Hijacking,15.2,60.86,0
SEC_MD5_000968,Alphabet Inc.,Distributed Core Database,Zero-Day Vulnerability,8.48,45.33,0
SEC_MD5_000969,Amazon Web Services,API Gateway Endpoint,Token Hijacking,8.352,42.69,0
SEC_MD5_000970,Alphabet Inc.,API Gateway Endpoint,Zero-Day Vulnerability,8.104,41.69,0
SEC_MD5_000971,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,39.016,100.0,1
SEC_MD5_000972,Meta Platforms,API Gateway Endpoint,Vector Injection,19.654,81.12,1
SEC_MD5_000973,Apple Inc.,Distributed Core Database,Vector Injection,11.001,50.61,0
SEC_MD5_000974,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,39.297,96.71,1
SEC_MD5_000975,Amazon Web Services,API Gateway Endpoint,Zero-Day Vulnerability,10.414,43.54,0
SEC_MD5_000976,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,2.519,29.58,0
SEC_MD5_000977,Amazon Web Services,IAM Authentication Layer,Exfiltration Attempt,23.576,77.59,1
SEC_MD5_000978,Microsoft Corp.,Distributed Core Database,Vector Injection,32.47,77.85,1
SEC_MD5_000979,Amazon Web Services,IAM Authentication Layer,Exfiltration Attempt,7.995,44.26,0
SEC_MD5_000980,Apple Inc.,IAM Authentication Layer,Vector Injection,13.537,60.72,0
SEC_MD5_000981,Microsoft Corp.,IAM Authentication Layer,Exfiltration Attempt,24.983,74.21,1
SEC_MD5_000982,Apple Inc.,IAM Authentication Layer,Vector Injection,12.934,51.49,0
SEC_MD5_000983,Alphabet Inc.,Distributed Core Database,Zero-Day Vulnerability,27.463,80.55,1
SEC_MD5_000984,Alphabet Inc.,Edge Computing Node,Token Hijacking,7.897,67.54,0
SEC_MD5_000985,Alphabet Inc.,Edge Computing Node,Zero-Day Vulnerability,7.925,40.13,0
SEC_MD5_000986,Microsoft Corp.,API Gateway Endpoint,Zero-Day Vulnerability,16.996,61.04,0
SEC_MD5_000987,Microsoft Corp.,Distributed Core Database,Token Hijacking,3.248,19.15,0
SEC_MD5_000988,Meta Platforms,IAM Authentication Layer,Vector Injection,21.927,78.74,1
SEC_MD5_000989,Meta Platforms,IAM Authentication Layer,Exfiltration Attempt,10.257,59.36,0
SEC_MD5_000990,Meta Platforms,Edge Computing Node,Token Hijacking,9.988,63.88,0
SEC_MD5_000991,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,13.6,46.95,0
SEC_MD5_000992,Meta Platforms,API Gateway Endpoint,Vector Injection,11.189,51.33,0
SEC_MD5_000993,Microsoft Corp.,IAM Authentication Layer,Zero-Day Vulnerability,13.895,50.52,0
SEC_MD5_000994,Alphabet Inc.,IAM Authentication Layer,Zero-Day Vulnerability,11.586,39.35,0
SEC_MD5_000995,Microsoft Corp.,IAM Authentication Layer,Vector Injection,3.746,37.45,0
SEC_MD5_000996,Alphabet Inc.,IAM Authentication Layer,Token Hijacking,4.886,45.39,0
SEC_MD5_000997,Amazon Web Services,Edge Computing Node,Vector Injection,13.064,67.41,0
SEC_MD5_000998,Meta Platforms,Edge Computing Node,Token Hijacking,29.38,100.0,1
SEC_MD5_000999,Microsoft Corp.,Distributed Core Database,Exfiltration Attempt,48.291,100.0,1
SEC_MD5_001000,Meta Platforms,IAM Authentication Layer,Exfiltration Attempt,17.839,54.07,0
SEC_MD5_001001,Apple Inc.,Distributed Core Database,Zero-Day Vulnerability,22.025,60.03,0
SEC_MD5_001002,Alphabet Inc.,Edge Computing Node,Vector Injection,8.664,49.48,0
SEC_MD5_001003,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,13.099,28.27,0
SEC_MD5_001004,Apple Inc.,Distributed Core Database,Vector Injection,8.454,47.46,0
SEC_MD5_001005,Microsoft Corp.,IAM Authentication Layer,Vector Injection,5.666,44.75,0
SEC_MD5_001006,Amazon Web Services,IAM Authentication Layer,Token Hijacking,3.261,31.53,0
SEC_MD5_001007,Amazon Web Services,API Gateway Endpoint,Vector Injection,7.976,35.94,0
SEC_MD5_001008,Alphabet Inc.,Edge Computing Node,Token Hijacking,13.299,49.92,0
SEC_MD5_001009,Meta Platforms,Edge Computing Node,Exfiltration Attempt,7.874,52.76,0
SEC_MD5_001010,Alphabet Inc.,Distributed Core Database,Exfiltration Attempt,21.284,69.8,0
SEC_MD5_001011,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,3.577,44.89,0
SEC_MD5_001012,Apple Inc.,IAM Authentication Layer,Exfiltration Attempt,44.281,100.0,1
SEC_MD5_001013,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,55.864,100.0,1
SEC_MD5_001014,Meta Platforms,IAM Authentication Layer,Vector Injection,31.429,88.99,1
SEC_MD5_001015,Alphabet Inc.,Distributed Core Database,Exfiltration Attempt,9.03,56.14,0
SEC_MD5_001016,Alphabet Inc.,Edge Computing Node,Zero-Day Vulnerability,24.267,79.23,1
SEC_MD5_001017,Apple Inc.,IAM Authentication Layer,Token Hijacking,11.492,43.66,0
SEC_MD5_001018,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,72.811,100.0,1
SEC_MD5_001019,Apple Inc.,Distributed Core Database,Token Hijacking,12.145,48.34,0
SEC_MD5_001020,Microsoft Corp.,IAM Authentication Layer,Exfiltration Attempt,3.453,35.65,0
SEC_MD5_001021,Amazon Web Services,IAM Authentication Layer,Token Hijacking,11.662,55.74,0
SEC_MD5_001022,Apple Inc.,IAM Authentication Layer,Token Hijacking,5.61,46.42,0
SEC_MD5_001023,Amazon Web Services,API Gateway Endpoint,Token Hijacking,23.334,73.55,1
SEC_MD5_001024,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,87.264,100.0,1
SEC_MD5_001025,Apple Inc.,Edge Computing Node,Vector Injection,13.416,64.89,0
SEC_MD5_001026,Apple Inc.,Distributed Core Database,Zero-Day Vulnerability,23.963,93.38,1
SEC_MD5_001027,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,4.919,53.59,0
SEC_MD5_001028,Alphabet Inc.,Edge Computing Node,Vector Injection,24.775,83.07,1
SEC_MD5_001029,Meta Platforms,IAM Authentication Layer,Zero-Day Vulnerability,19.229,52.01,0
SEC_MD5_001030,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,8.31,51.48,0
SEC_MD5_001031,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,9.197,31.93,0
SEC_MD5_001032,Alphabet Inc.,API Gateway Endpoint,Vector Injection,20.166,71.83,0
SEC_MD5_001033,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,5.895,31.41,0
SEC_MD5_001034,Meta Platforms,API Gateway Endpoint,Exfiltration Attempt,6.202,49.14,0
SEC_MD5_001035,Apple Inc.,IAM Authentication Layer,Exfiltration Attempt,14.635,65.06,0
SEC_MD5_001036,Alphabet Inc.,API Gateway Endpoint,Exfiltration Attempt,17.38,56.8,0
SEC_MD5_001037,Apple Inc.,Distributed Core Database,Vector Injection,12.483,52.59,0
SEC_MD5_001038,Apple Inc.,Distributed Core Database,Zero-Day Vulnerability,27.122,86.21,1
SEC_MD5_001039,Amazon Web Services,API Gateway Endpoint,Vector Injection,11.794,46.22,0
SEC_MD5_001040,Alphabet Inc.,Edge Computing Node,Exfiltration Attempt,10.009,47.8,0
SEC_MD5_001041,Apple Inc.,Edge Computing Node,Zero-Day Vulnerability,9.426,46.04,0
SEC_MD5_001042,Apple Inc.,Edge Computing Node,Token Hijacking,8.845,51.81,0
SEC_MD5_001043,Apple Inc.,Edge Computing Node,Token Hijacking,20.085,61.45,0
SEC_MD5_001044,Apple Inc.,Distributed Core Database,Token Hijacking,3.648,34.74,0
SEC_MD5_001045,Microsoft Corp.,Distributed Core Database,Exfiltration Attempt,8.288,44.57,0
SEC_MD5_001046,Apple Inc.,IAM Authentication Layer,Vector Injection,12.441,53.93,0
SEC_MD5_001047,Microsoft Corp.,API Gateway Endpoint,Exfiltration Attempt,5.111,44.88,0
SEC_MD5_001048,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,6.963,43.17,0
SEC_MD5_001049,Apple Inc.,Distributed Core Database,Zero-Day Vulnerability,8.606,34.05,0
SEC_MD5_001050,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,3.963,24.49,0
SEC_MD5_001051,Apple Inc.,Distributed Core Database,Exfiltration Attempt,25.487,91.17,1
SEC_MD5_001052,Alphabet Inc.,Edge Computing Node,Vector Injection,7.365,42.25,0
SEC_MD5_001053,Apple Inc.,Distributed Core Database,Vector Injection,72.111,100.0,1
SEC_MD5_001054,Amazon Web Services,IAM Authentication Layer,Exfiltration Attempt,16.492,76.12,1
SEC_MD5_001055,Meta Platforms,API Gateway Endpoint,Vector Injection,4.585,41.85,0
SEC_MD5_001056,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,14.725,45.56,0
SEC_MD5_001057,Microsoft Corp.,API Gateway Endpoint,Exfiltration Attempt,13.898,43.99,0
SEC_MD5_001058,Alphabet Inc.,IAM Authentication Layer,Token Hijacking,5.627,41.77,0
SEC_MD5_001059,Alphabet Inc.,Edge Computing Node,Zero-Day Vulnerability,7.143,61.94,0
SEC_MD5_001060,Meta Platforms,Edge Computing Node,Token Hijacking,97.1,100.0,1
SEC_MD5_001061,Alphabet Inc.,Distributed Core Database,Token Hijacking,4.602,40.04,0
SEC_MD5_001062,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,31.71,91.17,1
SEC_MD5_001063,Apple Inc.,API Gateway Endpoint,Zero-Day Vulnerability,16.373,68.69,0
